Zip,Date,median_SP,Area,median_LP,median_dom,median_dollar_sqft,ratio,sale_price_change,sale_perc_change,lease_price_change,lease_perc_change,income_2023,income_2017,income_diff,income_pct_change,Bldg-Demolition_Issued,Bldg-Demolition_Permit Finaled,Bldg-New_Issued,Bldg-New_Permit Finaled
91103,02-01-25,1200000,Pasadena,3297,61,439.56,30.33,-247000,-20.58,-253,-7.67,84683,69334,15349,22.1377680000000,no data,no data,no data,no data
91104,02-01-25,1220000,Altadena,4199,177,540.78,24.21,-213000,-17.46,1699,40.46,103052,72189,30863,42.7530510000000,no data,no data,no data,no data
91106,02-01-25,1575000,Pasadena,3400,16,470.99,38.6,109200,6.93,105,3.09,89213,77380,11833,15.2920650000000,no data,no data,no data,no data
91202,02-01-25,3546000,Glendale,2800,15,402.22,105.54,2031000,57.28,-400,-14.29,92343,66657,25686,38.5345880000000,no data,no data,no data,no data
91203,02-01-25,2220000,Glendale,2450,167,374.43,75.51,970000,43.69,-275,-11.22,77925,51360,26565,51.7231310000000,no data,no data,no data,no data
91204,02-01-25,925000,Glendale,2475,77,498.65,31.14,-650000,-70.27,334,13.49,72906,44304,28602,64.5585050000000,no data,no data,no data,no data
91342,02-01-25,1820000,Lake View Terrace,3300,72,449.49,45.96,958750,52.68,1302.5,39.47,95480,68600,26880,39.1836730000000,8,35,109,4
91401,02-01-25,1120000,Van Nuys,4300,41,330.88,21.71,-5000,-0.45,803,18.67,75933,51784,24149,46.6340950000000,12,84,38,0
91402,02-01-25,2572500,Van Nuys,2825,67,213.08,75.88,1490000,57.92,725,25.66,56369,41669,14700,35.2780240000000,8,22,41,1
91405,02-01-25,1155000,Van Nuys,3450,189,444.23,27.9,200000.00000,17.32,950,27.54,61207,41283,19924,48.2619960000000,9,55,43,1
91411,02-01-25,731750,Van Nuys,3690,110,390.89,16.53,-848250,-115.92,1095,29.67,77582,50332,27250,54.1405070000000,8,76,19,0
91501,02-01-25,2330000,Burbank,3375,78,499.58,57.53,1106000,47.47,775,22.96,85419,64006,21413,33.4546760000000,no data,no data,no data,no data
91504,02-01-25,975000,Burbank,4475,94,438.99,18.16,107000,10.97,2238,50.01,103164,73501,29663,40.3572740000000,0,0,8,0
91601,02-01-25,1550000,North Hollywood,4185,8,369.58,30.86,350000,22.58,1385,33.09,77540,50832,26708,52.541706000000,40,204,97,2
91605,02-01-25,2312500,North Hollywood,3250,88,234.31,59.29,1322500,57.19,550,16.92,64539,43004,21535,50.0767370000000,8,86,93,0
91607,02-01-25,960000,North Hollywood,5422,42,504.73,14.75,-1890000,-196.88,2827,52.14,84925,60772,24153,39.7436320000000,10,104,48,1
91801,02-01-25,1300000,Alhambra,3400,172,463.01,31.86,-535000,-41.15,800,23.53,85549,53644,31905,59.475431000000,no data,no data,no data,no data
,,,,,,,,,,,,,,,,,,,

